ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red
1.0,3716.428,1339.611,369.432,193.44099999999997,240.346,142.131,861.058,346.039,974.789,1284.396,2463.197,2120.685
2.0,2863.7239999999997,1166.999,293.288,157.96800000000002,196.017,125.39200000000001,587.0600000000001,273.981,690.433,942.0780000000001,1666.023,1527.5220000000002
3.0,2854.677,987.4380000000001,254.234,136.418,184.14600000000002,115.82300000000001,1086.742,623.553,1190.684,1901.9060000000002,3006.179,2856.073
4.0,2367.435,936.7479999999999,241.53000000000003,129.871,162.023,103.86399999999999,1005.2389999999999,595.2769999999999,1045.597,1476.819,2225.125,2218.34
5.0,2433.662,878.2909999999999,210.08499999999998,116.364,154.25,97.376,487.059,369.639,494.026,858.8700000000001,1278.151,1424.375
6.0,2964.0510000000004,1179.875,314.774,165.26100000000002,198.152,124.593,600.4440000000001,383.209,739.51,1018.5200000000001,1585.8120000000001,1631.542
7.0,3037.466,1062.859,308.81399999999996,157.472,189.525,112.975,573.894,302.142,627.89,869.326,1518.212,1405.276
8.0,2467.179,1027.908,269.996,141.973,162.108,100.45,767.6940000000001,418.89400000000006,692.678,1036.268,1732.2010000000002,1777.743
9.0,2717.819,1006.6479999999999,279.33,144.458,174.153,105.346,905.999,474.991,1071.411,1355.478,2170.989,1964.2959999999998
10.0,1873.4650000000001,661.118,169.855,94.97900000000001,127.68700000000001,79.264,659.205,457.08900000000006,756.652,1257.157,1882.098,1767.7959999999998
11.0,3166.902,1326.1219999999998,300.503,171.975,222.06599999999997,151.471,539.508,317.421,661.866,934.433,1506.456,1345.742
12.0,3083.281,1257.956,328.027,176.204,210.964,132.33800000000002,716.55,355.95799999999997,682.067,998.573,1746.518,1733.4919999999997
13.0,4686.158,1587.5439999999999,377.51,210.433,304.231,196.798,746.04,487.19000000000005,922.3460000000001,1382.1,2068.118,1996.1330000000003
14.0,2943.7529999999997,1175.685,295.562,159.047,193.627,121.85799999999999,701.208,406.809,678.496,1025.725,1632.459,1728.6380000000001
15.0,4006.036,1447.532,382.137,199.906,258.024,156.025,686.516,411.02799999999996,699.7189999999999,1053.491,1703.284,1772.73
16.0,4043.5,1030.5639999999999,282.935,154.98499999999999,247.85999999999999,135.983,716.551,340.908,1488.713,1895.489,2858.653,1783.6330000000003
17.0,1835.075,629.03,157.46599999999998,87.521,124.357,80.63199999999999,448.31899999999996,428.245,514.8399999999999,930.9200000000001,1169.403,1324.734
18.0,2663.888,884.6270000000001,210.47899999999998,117.191,161.083,96.69,564.644,348.432,874.8,1333.248,2091.346,1691.154
19.0,1709.7,646.913,151.504,86.60900000000001,115.81700000000001,75.735,532.98,426.305,562.692,987.152,1323.5639999999999,1398.828
20.0,2325.9139999999998,937.258,217.77100000000002,124.73299999999999,160.743,105.11800000000001,337.219,264.517,350.471,654.324,918.3430000000001,1093.3709999999999
21.0,2742.754,996.8399999999999,241.37399999999997,134.018,185.767,120.49300000000001,541.356,403.15999999999997,716.757,1057.1799999999998,1537.459,1455.2559999999999
22.0,3541.9909999999995,1042.011,249.76500000000001,140.649,223.689,128.352,530.802,303.054,1014.99,1404.857,2209.197,1660.7509999999997
23.0,2636.98,803.583,204.361,109.65,151.774,87.692,612.5229999999999,400.88,681.455,1111.919,1844.932,1704.045
24.0,2073.303,746.2479999999999,180.05,107.08,144.172,93.728,309.688,258.474,380.162,672.775,1054.395,1242.679
25.0,2352.821,914.6720000000001,244.118,129.541,153.90900000000002,93.386,644.841,381.726,644.01,1021.9469999999999,1684.4180000000001,1743.836
26.0,2277.085,832.914,198.48,113.877,157.411,102.84,418.396,268.963,582.588,860.9799999999999,1317.1190000000001,1167.865
27.0,1807.2400000000002,742.674,150.802,91.086,126.23599999999999,91.566,269.645,254.48200000000003,469.03000000000003,812.2149999999999,1003.957,1076.978
28.0,1648.575,669.603,136.606,82.878,112.48499999999999,76.532,468.343,362.342,783.2810000000001,1387.374,1745.854,1732.2990000000002
29.0,2486.202,673.076,182.873,96.96900000000001,145.112,81.542,495.87299999999993,390.962,763.588,1186.78,1670.859,1479.1299999999999
30.0,1743.3329999999999,573.126,161.779,90.091,122.136,73.003,435.37,365.992,573.405,1008.24,1591.976,1602.014
31.0,1840.875,529.794,199.88899999999998,103.93199999999999,125.63899999999998,68.22,516.873,398.144,786.342,1218.85,1799.4240000000002,1498.632
32.0,3128.397,953.405,226.31800000000004,126.723,196.615,120.03800000000001,507.189,340.90700000000004,994.175,1418.654,2166.911,1627.164
33.0,1892.95,703.837,161.387,93.821,129.567,83.821,335.588,319.35900000000004,380.979,700.8050000000001,833.39,975.344
34.0,2089.889,630.767,179.424,95.559,130.764,77.443,463.98900000000003,319.47200000000004,720.838,1061.047,1487.873,1200.258
35.0,1643.589,556.264,131.823,76.41499999999999,110.521,68.902,594.679,544.2,861.0260000000001,1541.75,1984.8739999999998,2047.4630000000002
36.0,1429.834,483.09,128.058,69.869,92.15700000000001,55.92,573.1310000000001,453.55600000000004,623.807,1135.904,1613.9720000000002,1611.01
37.0,1569.591,621.466,130.648,81.96900000000001,113.76599999999999,75.962,233.73499999999999,238.177,632.481,1035.215,1049.654,1071.484
38.0,1833.684,713.4449999999999,187.34300000000002,111.47200000000001,144.25799999999998,90.654,249.18800000000002,209.67600000000002,483.11,851.6659999999999,1126.0729999999999,1238.54
39.0,2243.102,543.08,153.466,78.569,128.116,72.43199999999999,305.662,242.968,626.768,1039.87,1344.897,1006.781
40.0,1990.1439999999998,554.525,135.744,74.592,118.208,67.194,320.243,268.39500000000004,540.961,909.7450000000001,1271.135,1113.6680000000001
41.0,2143.822,732.454,169.542,102.771,151.51500000000001,94.413,333.303,230.654,486.476,909.393,1130.151,1142.5549999999998
42.0,1601.139,665.308,137.313,85.283,114.022,75.963,332.538,259.727,392.915,754.6659999999999,949.0600000000001,1273.078
43.0,1390.5149999999999,457.846,111.98299999999999,65.226,96.428,58.879,326.556,292.678,467.296,943.5709999999999,1080.184,1257.321
44.0,2335.4260000000004,605.728,142.32999999999998,84.619,149.639,83.707,294.45300000000003,223.13000000000002,665.028,1191.788,1376.944,1268.1470000000002
45.0,1145.094,372.409,86.495,54.949,88.74300000000001,57.17100000000001,345.59700000000004,395.634,572.587,1111.3049999999998,930.384,1203.123
46.0,1144.401,380.27799999999996,94.652,56.607000000000006,80.628,49.769999999999996,311.42999999999995,289.143,563.1,1082.133,1130.8129999999999,1074.589
47.0,2454.538,562.8059999999999,135.586,76.414,150.065,83.47999999999999,327.645,277.17400000000004,954.076,1504.583,1699.9650000000001,1096.5539999999999
48.0,2092.557,562.6,137.783,78.404,131.533,74.14099999999999,310.995,225.294,689.005,1121.321,1363.766,1073.794
49.0,2190.331,528.9770000000001,158.094,83.791,127.25999999999999,66.283,314.804,260.07,675.23,1100.848,1355.897,1045.778
50.0,1297.3799999999999,454.066,109.944,67.051,97.197,60.815999999999995,295.653,306.476,503.10900000000004,1067.547,1069.091,1212.433
51.0,2274.998,565.156,174.012,93.158,149.125,81.089,388.799,314.798,1136.8120000000001,1485.78,1531.769,1080.797
52.0,713.987,308.945,75.674,47.655,57.138999999999996,37.698,260.505,256.764,454.43899999999996,796.574,876.624,926.3969999999999
53.0,1588.613,495.559,123.275,69.95,101.466,59.907000000000004,310.995,166.691,683.189,969.2270000000001,1449.3799999999999,963.9630000000001
54.0,2753.426,763.52,200.284,108.24300000000001,162.279,92.705,284.009,178.55,564.019,869.765,1142.0,819.75
55.0,2981.9100000000003,737.562,202.47899999999998,104.51199999999999,164.41400000000002,89.744,378.896,193.94099999999997,679.822,1103.309,1865.032,1437.7459999999999
56.0,1970.08,452.12399999999997,141.703,75.006,115.816,57.287,333.847,210.35999999999999,692.78,1081.2540000000001,1514.326,1217.209
57.0,1691.836,410.937,196.831,99.87100000000001,120.429,61.385000000000005,412.303,334.523,802.769,1151.459,1439.2350000000001,1171.527
58.0,2003.02,440.267,136.528,74.178,123.245,63.436,303.377,212.64000000000001,745.937,1138.366,1305.9299999999998,977.573
59.0,3095.691,927.6510000000001,217.377,129.292,209.25499999999997,124.593,668.3439999999999,588.4359999999999,1403.723,2054.174,2455.8010000000004,1848.179
60.0,3720.6050000000005,793.26,224.906,124.237,225.483,114.457,642.6659999999999,622.3,2054.465,3188.057,3399.458,2274.447
61.0,5331.37,1221.266,308.5,180.262,342.581,193.611,784.125,809.4,2472.377,3495.4060000000004,3596.5699999999997,2399.0029999999997
62.0,2675.3689999999997,645.177,179.736,104.346,181.156,97.261,447.669,427.218,1477.488,1982.477,1901.5349999999999,1242.517
63.0,742.52,188.862,70.185,40.859,56.2,31.092000000000002,209.79700000000003,228.37399999999997,727.1659999999999,1136.257,926.402,747.961
64.0,2336.005,769.448,177.698,118.103,183.974,122.429,535.699,604.626,1984.984,3067.685,3066.67,2131.829
65.0,3021.462,905.9860000000001,213.769,134.26600000000002,221.811,140.424,784.561,654.679,2432.689,3440.6659999999997,4196.346,2869.3650000000002
66.0,1892.6029999999998,534.293,168.75799999999998,97.88300000000001,142.293,80.63300000000001,221.54899999999998,218.455,954.792,1199.433,992.865,529.575
67.0,2855.2599999999998,729.591,220.671,133.023,204.472,115.939,441.032,352.08,1351.3790000000001,2126.837,2405.267,1495.05
68.0,1139.179,208.68800000000002,121.86300000000001,63.402,75.759,32.914,422.966,204.772,1131.711,1392.907,1505.6970000000001,670.603
69.0,4358.856,863.265,255.175,137.081,256.488,133.363,1036.469,1040.167,5035.257,5252.247,5901.717,2951.2599999999998
70.0,6617.499000000001,1560.5620000000001,380.881,226.594,429.271,241.89900000000003,813.831,1036.861,3425.2309999999998,3851.7830000000004,4054.697,2447.79
71.0,4083.397,876.347,240.513,139.07,259.563,136.209,689.675,793.438,3563.9900000000002,3572.375,3761.9199999999996,1764.2920000000001
72.0,6147.423,1436.4950000000001,351.866,207.61399999999998,392.887,221.39700000000002,888.4799999999999,1065.708,3541.9550000000004,4101.492,4369.093,2695.705
73.0,4059.737,912.626,227.1,132.10999999999999,259.733,144.182,1061.386,1252.464,4204.022,4983.647,5281.08,3305.8230000000003
74.0,3443.407,617.378,246.785,130.371,224.20100000000002,115.255,750.611,1053.393,3759.2760000000003,4061.8660000000004,3881.0029999999997,2121.243
75.0,4922.067,1008.7969999999999,267.408,151.919,300.816,156.481,948.219,1065.934,3389.827,4012.047,4242.045,2730.561
76.0,3428.791,674.9159999999999,196.991,105.25699999999999,200.458,102.84200000000001,591.6310000000001,712.601,3475.4309999999996,3508.233,3798.233,1817.22
77.0,4750.6449999999995,1050.594,266.233,154.57,303.037,166.959,758.4449999999999,1032.072,3494.815,3930.332,3891.432,2314.322
78.0,3753.078,709.9689999999999,235.651,124.81700000000001,219.163,106.71199999999999,969.8729999999999,1131.268,4563.982,4798.780000000001,5043.864,2623.278
79.0,3611.1150000000002,735.109,224.121,120.50699999999999,217.711,108.422,623.947,583.99,2458.402,2472.843,2550.8,1170.731
80.0,2459.295,500.668,167.425,93.157,156.38799999999998,78.925,470.30199999999996,578.518,2222.508,2480.4010000000003,2446.509,1389.435
81.0,4797.036,1050.085,288.19,166.092,314.481,175.16,718.292,919.994,4307.072,4211.411,4496.615,2045.316
82.0,6558.464,1569.659,362.218,219.218,432.60299999999995,249.3,898.381,979.738,3466.655,3908.9839999999995,4090.157,2349.895
83.0,2995.8300000000004,698.319,177.618,101.69300000000001,191.82999999999998,106.143,558.225,713.17,1687.6689999999999,2163.123,2103.103,1640.057
84.0,3918.9339999999997,809.92,223.337,124.81699999999998,237.696,122.202,528.625,632.332,2977.2200000000003,2960.314,3314.126,1506.4299999999998
85.0,3919.399,762.397,227.965,122.49600000000001,232.744,116.73299999999999,519.92,580.456,2268.1150000000002,2457.9080000000004,2539.236,1376.3049999999998
86.0,2461.846,640.371,210.791,115.369,168.174,89.858,733.854,582.394,1745.1119999999999,2148.8900000000003,2607.023,1533.65
87.0,2725.9370000000004,615.8439999999999,263.01599999999996,147.44400000000002,196.103,100.336,623.187,608.047,1988.248,2550.956,2298.9829999999997,1344.153
88.0,3687.7830000000004,1011.658,226.789,142.553,252.72799999999998,147.371,729.0649999999999,712.485,2270.564,2874.911,2775.315,1540.652
89.0,2166.205,559.637,226.475,146.61399999999998,182.43699999999998,100.904,604.688,731.64,1623.188,2317.7650000000003,2010.1889999999999,1322.822
90.0,2328.233,622.6899999999999,177.62,105.34,158.863,88.834,577.5930000000001,624.238,1717.768,2153.194,1945.622,1205.669
91.0,2840.179,763.6229999999999,273.289,166.919,222.921,128.011,661.38,750.909,2073.952,2730.0240000000003,2314.6279999999997,1556.491
92.0,3561.708,680.537,305.678,164.268,240.858,119.47,378.026,514.896,1437.29,1694.8080000000002,1500.671,897.9040000000001
93.0,3638.8369999999995,776.909,352.964,199.49099999999999,272.46,140.654,646.8,684.094,1848.569,2300.2799999999997,1754.1970000000001,1026.4379999999999
94.0,2219.674,492.39,240.51,145.535,174.408,90.654,794.029,790.587,2434.7290000000003,3048.706,2660.309,1344.31
95.0,3426.0080000000003,679.412,274.547,151.173,229.327,112.066,647.778,753.9879999999999,3039.254,3008.55,2932.417,1094.1680000000001
96.0,1295.408,370.672,205.69299999999998,128.546,122.224,66.283,663.45,666.652,1678.997,2369.516,1768.4190000000003,984.0989999999999
97.0,2084.67,417.48,230.081,119.01400000000001,141.269,65.03,635.592,603.601,1709.4029999999998,1835.9189999999999,1659.009,798.182
