ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red
1.0,3383.5589999999997,1222.389,338.37800000000004,180.264,217.96599999999998,128.80599999999998,997.405,405.89700000000005,1065.1879999999999,1360.9270000000001,2530.322,2146.392
2.0,3120.278,1174.663,296.581,160.62,204.301,126.41399999999999,748.542,430.524,659.724,1013.598,1562.964,1625.2549999999999
3.0,3860.131,1300.674,327.244,178.024,254.69400000000002,158.64600000000002,847.5649999999999,522.309,1036.517,1609.318,2427.547,2252.484
4.0,4297.848,1685.959,443.304,236.29000000000002,298.16999999999996,191.78699999999998,578.245,391.98699999999997,610.134,926.4380000000001,1342.337,1420.8719999999998
5.0,1684.5310000000002,688.713,154.8,88.018,115.55999999999999,76.192,594.4599999999999,437.93500000000006,707.0640000000001,1157.169,1683.2779999999998,1673.166
6.0,2327.305,983.043,251.95999999999998,136.172,154.763,100.676,811.655,410.91499999999996,781.137,1090.1299999999999,1822.841,1827.725
7.0,1952.5669999999998,729.183,206.869,105.256,122.13699999999999,73.458,809.697,427.218,885.1049999999999,1171.405,1943.725,1785.943
8.0,2577.713,970.368,261.371,136.172,166.465,101.474,757.575,433.488,786.647,1090.919,1651.9919999999997,1682.9560000000001
9.0,4092.9089999999997,1356.167,399.70300000000003,202.392,254.948,149.649,718.944,385.03000000000003,826.54,1068.778,1709.3529999999998,1566.4389999999999
10.0,1954.8849999999998,658.6659999999999,176.91299999999998,95.893,128.286,77.101,677.923,476.128,755.835,1269.197,1824.453,1749.73
11.0,3056.836,1267.0520000000001,290.151,165.346,215.06300000000002,143.725,556.8100000000001,335.776,675.4359999999999,956.7520000000001,1514.6100000000001,1353.3049999999998
12.0,3146.8379999999997,1269.196,329.438,176.782,206.695,128.808,773.134,331.902,650.845,929.073,1682.7099999999998,1691.869
13.0,3774.186,1279.109,310.539,171.231,241.712,148.51,921.016,522.192,972.749,1498.783,2454.094,2395.899
14.0,2745.191,1164.649,289.288,157.141,183.03300000000002,117.076,712.633,374.087,647.173,985.3950000000001,1652.369,1746.306
15.0,3638.4880000000003,1288.716,349.35699999999997,181.59099999999998,228.644,137.23499999999999,739.838,457.774,815.725,1190.382,1864.1779999999999,1928.084
16.0,4615.177,1139.407,339.947,179.269,274.509,145.777,670.52,267.255,1148.75,1502.652,2388.011,1571.6119999999999
17.0,2240.3190000000004,754.018,199.185,109.06800000000001,146.565,87.921,423.837,353.90500000000003,484.946,860.277,1095.734,1209.172
18.0,2895.504,921.417,236.19699999999997,127.13699999999999,172.35999999999999,101.816,536.136,338.4,717.675,1146.536,1943.6299999999999,1587.053
19.0,2117.261,799.595,186.637,104.593,142.63600000000002,92.59,447.45,326.313,596.0559999999999,889.8870000000001,1232.358,1176.46
20.0,2116.6809999999996,790.297,180.52,103.849,144.429,94.527,445.492,322.209,556.163,859.6610000000001,1166.179,1209.808
21.0,3119.815,1200.109,283.95500000000004,159.45999999999998,216.087,143.044,460.28900000000004,252.317,611.665,850.4370000000001,1367.084,1248.17
22.0,3076.785,825.247,205.379,114.042,183.889,103.97999999999999,605.232,402.133,1017.847,1478.136,2337.951,1860.116
23.0,2720.835,868.4780000000001,215.808,117.191,161.083,95.667,613.828,388.794,724.7149999999999,1115.434,1810.515,1592.625
24.0,2439.924,859.793,203.027,120.59,174.493,118.67,284.009,240.68599999999998,386.692,659.507,963.472,1048.326
25.0,2442.0119999999997,954.425,254.314,134.847,162.877,99.993,609.694,350.256,652.7850000000001,986.009,1594.0610000000001,1592.386
26.0,2361.754,830.664,201.459,112.468,153.909,96.462,411.541,291.88199999999995,527.5930000000001,841.3870000000001,1177.461,1124.252
27.0,1384.831,553.4019999999999,117.15799999999999,69.86800000000001,95.49,65.713,343.312,338.741,506.168,920.99,1271.609,1426.843
28.0,2150.8959999999997,714.057,177.698,102.523,156.98399999999998,98.172,284.663,331.21799999999996,501.271,933.644,1291.8039999999999,1459.553
29.0,2568.782,700.056,197.93,105.093,153.993,85.75699999999999,462.684,385.488,634.4190000000001,1063.769,1492.708,1410.368
30.0,2922.7599999999998,898.32,208.91,116.36399999999999,179.275,113.203,307.186,290.741,697.167,1068.076,1371.8229999999999,1219.359
31.0,2108.3309999999997,550.643,203.341,105.423,137.51,74.483,466.05699999999996,386.742,604.015,1020.1879999999999,1535.657,1383.23
32.0,2374.743,643.438,176.523,91.249,135.119,76.077,631.023,479.437,1018.6619999999999,1586.999,2435.795,2083.041
33.0,1737.534,721.211,165.543,98.628,124.699,82.797,317.523,248.66799999999998,352.408,639.562,926.4950000000001,990.3059999999999
34.0,2645.678,777.42,208.125,111.72200000000001,160.48600000000002,94.3,430.692,332.355,727.162,1077.476,1190.166,979.006
35.0,2268.62,908.133,177.54000000000002,112.71700000000001,167.916,115.36800000000001,329.058,342.389,524.33,992.9529999999999,1215.48,1335.398
36.0,2187.431,731.226,181.462,100.946,145.79500000000002,91.79299999999999,445.92600000000004,380.926,557.079,970.2819999999999,1284.408,1228.749
37.0,1570.984,558.615,146.017,87.438,118.12100000000001,77.67,257.238,311.265,679.107,1138.1029999999998,1238.615,1278.571
38.0,1940.968,770.981,198.087,117.85499999999999,153.994,98.628,249.40500000000003,229.629,463.521,804.7470000000001,1012.2049999999999,1112.711
39.0,2066.924,549.825,145.623,75.338,120.174,69.471,350.82,214.69099999999997,663.0899999999999,1050.853,1575.385,1067.027
40.0,2025.0549999999998,539.0939999999999,137.389,73.764,115.731,63.777,323.398,285.496,443.828,789.107,1185.711,1090.664
41.0,1516.4720000000002,466.43199999999996,121.31500000000001,71.02799999999999,106.59100000000001,62.638,390.541,335.664,603.605,1226.58,1379.5030000000002,1452.072
42.0,1127.6970000000001,579.259,105.00399999999999,71.027,94.80600000000001,67.99,333.302,303.28200000000004,443.62399999999997,873.368,1029.935,1242.9959999999999
43.0,1842.4990000000003,708.846,149.858,92.909,130.76299999999998,83.365,265.727,208.077,454.64399999999995,757.299,975.2280000000001,995.716
44.0,1828.234,498.41900000000004,123.119,70.696,120.002,69.47200000000001,367.144,344.784,831.03,1529.975,1653.6989999999998,1467.672
45.0,1274.9950000000001,510.06899999999996,111.59,70.44800000000001,97.965,64.005,308.492,298.607,439.74799999999993,838.8369999999999,806.465,1066.471
46.0,1279.054,480.12600000000003,116.84400000000001,70.36600000000001,90.877,57.399,300.767,243.081,466.784,893.927,1041.8799999999999,1002.8799999999999
47.0,2247.625,486.668,150.879,83.128,136.228,68.788,375.522,271.928,868.575,1445.979,1893.6650000000002,1396.2
48.0,1803.53,487.38199999999995,117.471,67.215,112.144,63.208000000000006,344.076,233.277,765.732,1227.724,1551.396,1176.0629999999999
49.0,1760.15,457.64300000000003,125.23499999999999,67.299,103.005,56.489999999999995,374.216,237.60999999999999,850.006,1239.41,1632.366,979.323
50.0,1544.888,584.676,137.86200000000002,88.6,122.90599999999999,77.67,245.596,222.331,415.77,866.9540000000001,930.0049999999999,1074.7469999999998
51.0,2267.8059999999996,561.885,179.972,95.39500000000001,152.459,82.911,436.13100000000003,370.096,1247.8200000000002,1632.601,1692.7599999999998,1153.3790000000001
52.0,1505.917,503.02,118.727,69.702,105.226,64.80199999999999,261.26599999999996,231.112,404.853,660.739,617.886,731.567
53.0,2020.3010000000002,486.871,137.467,72.438,115.98700000000001,61.501,288.688,220.50500000000002,590.446,869.327,1049.751,869.094
54.0,2292.163,654.679,173.308,93.404,136.74200000000002,78.239,318.721,176.154,663.193,968.7869999999999,1433.5459999999998,977.016
55.0,2711.787,666.1270000000001,182.481,93.322,145.36700000000002,78.58099999999999,486.079,279.566,746.346,1186.867,2035.123,1531.103
56.0,2325.682,618.604,151.741,84.455,142.123,79.721,215.56300000000002,131.801,652.376,971.689,1298.6299999999999,837.338
57.0,1909.422,453.658,211.26100000000002,108.904,142.038,75.736,362.248,323.007,864.396,1199.08,1344.993,1043.949
58.0,1959.989,461.524,137.70499999999998,75.005,120.941,63.322,288.36199999999997,191.32,816.54,1210.326,1434.873,943.1110000000001
59.0,3555.2129999999997,1091.474,250.70699999999997,152.998,245.72400000000002,148.622,638.967,497.10900000000004,1354.748,1988.1879999999996,2540.373,1793.5809999999997
60.0,4226.056,896.991,254.46999999999997,140.81400000000002,256.316,131.997,553.0,512.614,1752.2549999999999,2683.455,2923.9790000000003,1944.718
61.0,7479.83,1761.7900000000002,457.812,273.337,496.91700000000003,293.60299999999995,644.08,531.313,2036.5080000000003,2791.177,2878.281,1885.584
62.0,2454.306,521.313,174.091,96.96900000000001,163.305,82.115,521.01,464.38800000000003,1614.5149999999999,2189.3959999999997,2072.953,1325.4479999999999
63.0,1306.195,363.72200000000004,100.534,59.589999999999996,93.098,53.98199999999999,181.06900000000002,146.625,553.1020000000001,794.906,668.515,471.63499999999993
64.0,3576.785,939.7090000000001,277.995,171.976,271.177,156.254,529.389,549.101,1376.888,2311.6130000000003,2441.103,2051.682
65.0,3067.505,955.142,221.925,140.231,229.497,142.929,892.3969999999999,724.3430000000001,2363.411,3405.433,3967.2830000000004,2869.204
66.0,1598.472,402.15,122.492,71.941,116.84100000000001,64.348,248.535,298.037,1214.56,1553.611,1107.775,710.237
67.0,3667.833,877.165,244.98000000000002,141.643,239.91800000000003,130.858,395.762,354.131,1107.634,1807.275,1884.7540000000001,1177.655
68.0,1225.008,221.56599999999997,118.883,61.33200000000001,81.47999999999999,36.785000000000004,374.10900000000004,200.781,1135.4869999999999,1356.797,1378.933,578.839
69.0,5581.892,1128.469,344.81,187.392,335.235,171.51399999999998,860.5130000000001,859.567,4252.588,4369.652,5107.008,2515.041
70.0,6609.844999999999,1557.497,374.373,224.35500000000002,435.337,247.25100000000003,828.088,998.7790000000001,3386.357,3810.9260000000004,3990.4139999999998,2389.451
71.0,4718.635,900.26,303.248,161.7,290.139,143.61200000000002,611.761,742.129,2998.441,3157.481,3141.0029999999997,1692.743
72.0,5390.404,1398.986,319.166,195.677,365.813,213.65500000000003,976.4040000000001,1107.4379999999999,4212.592,4562.163,5050.5,2774.6549999999997
73.0,5181.404,1241.6039999999998,290.467,174.048,345.399,203.29000000000002,892.1790000000001,1159.542,3752.3380000000006,4207.806,4293.433,2575.447
74.0,5100.68,871.7479999999999,342.771,181.257,331.479,171.401,593.046,904.6020000000001,3373.911,3601.546,3311.282,1709.5369999999998
75.0,4209.3550000000005,941.652,236.2,136.834,267.41999999999996,148.624,921.341,1092.956,3974.762,4363.8550000000005,4685.949,2654.877
