ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red
1.0,3919.05,1532.97,443.85,234.55,251.11,148.05,1269.88,693.22,1298.84,1630.76,2179.71,1801.86
1.0,3978.2,1327.55,363.08,189.79,257.94,153.75,618.07,169.88,461.17,678.31,1620.32,1428.59
1.0,3233.59,1315.29,369.35,194.77,206.69,117.3,663.78,197.25,533.61,795.17,1964.49,1846.43
1.0,3326.38,1292.8,342.69,188.97,211.82,127.55,960.84,230.31,588.71,927.84,2740.04,2387.62
1.0,2732.55,983.14,247.02,134.27,181.92,113.89,1265.53,348.89,1269.25,1585.95,3669.2,2927.22
1.0,2718.63,1005.63,252.51,145.04,187.9,115.03,1238.32,499.39,1865.1,2036.69,3293.74,2425.82
1.0,3551.39,1235.57,353.67,184.82,229.75,137.8,1028.31,616.83,1393.72,1710.71,2324.77,2163.19
1.0,2996.99,1084.32,318.38,164.93,195.59,109.33,1039.19,291.88,790.73,1123.78,2582.66,2276.2
1.0,3393.65,1123.16,316.03,165.76,208.4,125.28,1115.36,379.67,1240.68,1553.44,2990.35,2454.48
1.0,3985.16,1323.46,377.2,199.74,248.54,140.08,774.77,631.65,1210.07,1566.62,1937.94,1752.51
2.0,2778.94,1042.42,268.98,144.21,182.78,112.75,1043.54,571.22,911.12,1405.82,2137.05,2048.58
2.0,2755.75,943.29,269.76,140.07,169.11,100.22,772.59,247.41,585.65,923.45,1977.76,1892.59
2.0,2552.78,1104.76,279.96,149.18,164.84,100.22,1550.62,727.42,1338.63,1732.68,2455.61,2049.38
2.0,2190.91,936.13,238.39,128.46,147.76,96.8,1014.16,694.36,1087.63,1455.03,1863.99,1864.73
2.0,2922.76,941.24,225.06,125.98,192.17,118.44,478.79,423.0,644.83,961.23,1146.27,1391.19
2.0,3267.23,1068.99,232.9,135.09,212.67,130.97,330.8,339.77,450.97,742.45,940.53,1216.1
2.0,2381.12,1128.27,248.59,143.38,182.78,130.97,599.57,418.44,439.75,789.02,1136.79,1378.45
2.0,4762.24,1617.79,428.17,219.63,304.06,181.08,490.76,198.39,296.91,560.57,1145.32,1329.11
2.0,4024.59,1679.11,439.93,237.04,251.96,153.75,602.84,310.12,374.45,728.39,1364.33,1540.02
2.0,3566.46,1284.63,334.07,183.16,234.88,138.94,601.75,375.11,467.3,837.34,1461.99,1542.4
3.0,3514.27,1279.52,335.63,177.36,217.8,133.25,1020.69,534.73,976.42,1600.88,2592.14,2660.61
3.0,2901.88,1107.83,300.35,156.64,179.36,103.64,1195.88,824.34,1228.43,1888.2,2687.9,2756.91
3.0,3073.54,894.23,232.12,123.49,199.01,119.58,891.2,639.63,1196.81,1944.43,2667.04,2238.0
3.0,3199.96,996.43,268.19,143.38,210.11,126.42,637.66,355.73,1083.55,1607.91,2488.8,1844.84
3.0,3428.44,1124.18,309.76,162.44,219.5,127.55,676.83,476.59,1139.67,1647.45,2271.68,1996.85
3.0,2860.13,1011.76,218.79,135.92,199.01,132.11,969.55,615.69,953.98,1610.55,2444.23,2370.91
3.0,3453.96,1273.39,324.66,174.05,234.88,153.75,767.15,328.37,741.75,1287.21,2394.93,2315.2
3.0,4761.08,1607.57,387.39,214.66,316.87,203.86,945.61,547.28,1176.4,1686.99,2666.09,2470.39
3.0,5546.29,1768.02,407.78,231.23,376.66,235.75,737.77,495.97,1030.5,1597.37,2253.66,2175.12
3.0,5861.76,1943.81,487.77,261.07,393.74,250.55,633.31,404.76,837.66,1222.19,1809.0,1696.01
4.0,2580.61,920.8,218.79,119.35,180.22,113.89,884.67,671.55,949.89,1397.04,1900.02,2138.51
4.0,4131.3,1458.36,405.43,207.2,259.65,150.33,971.72,952.03,948.87,1600.88,1665.83,2175.12
4.0,3119.93,893.21,331.71,162.44,187.05,108.19,700.77,492.55,628.5,1064.03,1626.01,1615.62
4.0,3455.12,1375.58,364.65,189.79,255.38,160.58,428.73,332.93,673.39,930.48,1481.9,1324.33
4.0,5223.85,1891.68,507.37,261.9,363.85,226.64,413.5,354.59,737.67,936.63,1121.62,974.15
4.0,5956.86,2414.94,607.75,330.69,410.82,281.3,763.89,402.48,733.59,956.84,1370.97,1103.08
4.0,5906.99,2243.25,568.54,316.6,413.39,267.64,335.15,116.3,360.16,543.0,1089.38,982.9
4.0,3988.64,1927.45,481.49,265.22,297.23,200.44,464.64,277.06,513.21,772.32,1067.57,1213.71
4.0,3892.37,1645.39,407.0,222.12,290.4,202.72,436.35,230.31,332.62,627.35,972.76,1285.34
4.0,4722.81,2088.93,540.31,287.59,323.71,206.14,383.03,90.07,223.44,435.81,1127.31,1395.96
5.0,1387.15,746.05,157.62,93.65,103.35,71.75,633.31,430.98,675.44,1103.57,1705.65,1704.76
5.0,1268.85,659.18,134.1,82.05,93.95,64.92,701.86,475.45,819.3,1260.85,1872.52,1824.94
5.0,1360.48,649.98,138.8,81.22,95.66,64.92,866.17,441.24,851.95,1361.89,2294.43,1964.22
5.0,1462.54,662.24,136.45,81.22,106.76,72.89,615.9,286.18,855.01,1301.27,2426.22,1953.87
5.0,1412.67,603.99,134.1,75.42,97.37,67.19,701.86,430.98,1120.28,1620.21,2238.49,1831.31
5.0,1439.34,669.4,149.0,82.88,101.64,69.47,496.2,445.8,813.17,1301.27,1612.74,1614.03
5.0,1723.5,739.91,154.49,91.17,130.68,89.97,455.94,348.89,531.57,909.39,1487.59,1547.97
5.0,1704.94,616.25,137.23,77.91,115.3,75.17,582.16,435.54,624.42,995.5,1373.81,1526.49
5.0,2353.29,695.97,176.44,95.31,144.34,85.42,398.27,436.68,458.11,861.07,971.82,1355.37
5.0,2732.55,844.16,229.77,119.35,166.55,100.22,492.93,647.61,321.39,856.67,849.51,1408.7
6.0,2724.43,1170.17,339.55,171.56,169.11,102.5,379.77,216.63,306.09,524.55,954.75,1392.78
6.0,2051.73,969.86,264.27,140.07,133.24,86.55,548.43,416.16,380.57,777.6,1268.57,1713.52
