ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red
1.0,1128.51,551.87,98.02,63.82,88.83,64.92,762.8,999.92,628.5,1858.32,1733.15,2918.47
1.0,1176.06,549.83,94.89,62.16,90.53,64.92,759.53,1034.12,587.69,1882.93,1806.15,3196.23
1.0,1035.72,496.68,93.32,58.02,74.31,53.53,754.09,1644.11,617.28,1946.19,2050.77,3889.44
1.0,911.62,440.47,83.12,50.56,68.33,47.83,751.92,1510.71,681.56,2083.26,2272.63,4104.32
1.0,938.3,412.88,79.2,48.9,67.47,48.97,516.87,1270.14,749.92,2137.73,2250.82,3605.31
1.0,904.66,453.76,76.85,48.07,76.02,48.97,635.48,1438.88,1010.09,2568.27,2137.99,3132.56
1.0,923.22,432.3,76.85,48.07,72.6,52.39,591.96,1100.25,1187.62,2344.21,2027.06,2680.5
1.0,941.78,458.87,78.42,49.73,78.58,60.36,529.93,786.71,1266.19,2010.33,1802.36,2058.13
1.0,963.81,501.79,82.34,52.21,81.99,67.19,749.74,950.89,1381.48,2122.79,1882.95,2136.92
1.0,918.58,496.68,80.77,52.21,76.02,68.33,424.38,495.97,918.27,1385.62,1558.7,1746.94
2.0,1431.22,689.84,116.84,74.59,113.6,87.69,751.92,696.64,898.88,1614.94,1680.06,2204.57
2.0,1379.03,789.99,119.98,82.88,118.72,93.39,841.14,734.26,874.39,1721.26,1912.34,2518.15
2.0,1183.02,689.84,101.94,71.28,100.78,78.58,896.64,863.1,1027.44,1863.6,2076.37,2677.32
2.0,1029.93,579.46,98.02,64.65,79.43,62.64,864.0,898.45,895.82,1867.11,2137.99,2944.73
2.0,966.13,504.86,88.61,58.02,74.31,55.81,990.22,1086.57,1069.27,2011.21,2162.64,2830.13
2.0,931.34,445.58,78.42,51.39,73.45,51.25,1792.19,1484.49,1058.05,2716.76,2934.41,4062.14
2.0,869.87,406.75,71.36,45.58,65.77,48.97,1830.28,1793.47,1532.48,3652.51,3182.81,4519.77
2.0,882.63,434.34,72.93,47.24,70.04,52.39,2033.76,2159.46,1659.0,3968.82,3231.17,4513.4
2.0,888.43,432.3,71.36,46.41,70.89,52.39,793.27,1169.8,1301.9,2961.9,2976.13,3923.66
2.0,851.31,395.51,68.22,43.1,67.47,51.25,474.44,917.83,1000.91,2396.93,2267.89,3132.56
3.0,974.25,574.35,81.56,57.19,85.41,72.89,595.22,937.21,498.92,1201.1,1165.23,2393.99
3.0,651.82,458.87,72.15,50.56,59.79,53.53,628.95,1006.76,712.17,1802.09,1966.39,3437.38
3.0,652.98,425.14,58.81,43.1,61.5,53.53,755.18,1482.21,744.82,2112.25,2119.03,4139.34
3.0,672.7,428.21,61.95,43.1,58.08,50.11,613.72,1302.06,759.1,2144.76,2731.51,4503.05
3.0,741.13,389.37,61.17,40.61,63.2,51.25,533.2,1621.31,897.86,2490.07,2906.91,4383.67
3.0,750.41,388.35,60.38,40.61,61.5,48.97,361.27,865.38,762.16,1845.14,2051.72,3099.93
3.0,612.39,343.39,57.25,38.12,51.25,41.0,620.25,961.15,798.89,1998.03,2209.1,3314.81
3.0,521.92,258.56,43.13,28.18,47.83,43.28,593.04,1118.5,980.5,2171.12,2060.25,3038.65
3.0,546.28,341.34,50.19,34.81,52.1,48.97,344.95,759.35,766.24,1659.75,1369.07,1684.86
3.0,385.06,308.64,43.13,31.49,41.85,42.14,402.62,946.33,696.86,1476.12,1171.87,1770.02
4.0,1403.39,693.92,108.22,72.11,116.16,89.97,770.41,818.63,1042.74,2660.52,2586.45,3042.63
4.0,1340.76,694.95,106.65,73.76,105.05,82.0,671.39,966.86,1157.01,3003.19,2828.22,3273.43
4.0,1061.24,608.08,96.46,65.47,89.68,69.47,862.91,810.65,1132.53,3018.13,3467.25,3934.0
4.0,998.61,517.12,83.91,56.36,83.7,62.64,858.55,966.86,1387.6,3480.29,3539.3,3587.8
4.0,991.65,488.51,79.2,52.21,80.29,60.36,788.91,1196.03,1291.69,3213.19,3172.38,3910.92
4.0,1014.85,492.59,78.42,53.04,84.56,62.64,1424.4,1469.67,1367.2,3277.33,3257.71,4202.21
4.0,1014.85,468.07,72.93,49.73,82.85,62.64,881.41,1031.84,1307.0,2877.55,3255.82,3991.31
4.0,1026.45,452.74,72.15,48.07,83.7,61.5,941.25,1368.19,1307.0,3150.8,2985.61,3973.0
