ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red
1.0,4427.05,1611.66,400.72,227.09,303.21,187.91,930.37,339.77,1226.39,1405.82,2543.79,1882.24
1.0,4659.02,1787.44,481.49,254.44,311.75,189.05,867.26,434.4,1176.4,1393.52,2093.43,1838.47
1.0,3053.82,1306.09,359.16,189.79,221.21,120.72,1000.02,230.31,551.98,860.19,2216.69,2004.01
1.0,2964.51,1253.97,343.48,178.19,190.47,115.03,838.97,186.99,657.07,966.5,2819.69,2348.62
1.0,2878.69,1171.19,325.44,174.88,178.51,108.19,1039.19,450.36,1416.17,1755.52,3137.3,2526.9
1.0,2580.61,923.87,265.06,138.41,171.67,92.25,1295.99,556.4,1248.84,1617.58,2779.87,2312.81
1.0,3097.89,903.43,269.76,138.41,193.88,115.03,770.41,197.25,763.18,1107.97,2959.06,2357.38
1.0,3351.9,1207.98,308.97,165.76,220.36,141.22,600.66,525.61,1287.61,1678.2,2280.21,2093.94
1.0,4909.54,1531.95,414.05,211.34,303.21,183.36,627.87,258.82,668.29,1035.04,2124.72,2020.72
1.0,5241.25,1698.53,526.19,256.1,309.19,168.55,639.84,280.48,751.96,1023.62,1677.21,1821.76
2.0,2122.48,763.42,203.89,104.43,136.66,84.28,864.0,330.65,591.77,956.84,2023.27,1954.67
2.0,3027.14,996.43,287.8,145.87,190.47,116.17,558.22,297.58,805.01,1057.88,1900.97,1628.36
2.0,2978.43,1160.97,309.76,162.44,200.71,124.14,772.59,497.11,1114.16,1404.07,1967.33,1781.17
2.0,2647.88,1087.39,284.66,150.84,176.8,104.78,541.9,183.57,509.13,802.2,1741.68,1598.91
2.0,2921.6,1220.24,322.3,169.07,193.88,119.58,688.8,206.37,822.36,1020.1,2069.73,1674.52
2.0,2494.78,1228.42,283.09,160.79,180.22,120.72,606.1,221.19,824.4,1033.28,1878.21,1585.38
2.0,2200.19,1107.83,236.83,138.41,168.26,119.58,628.95,302.14,847.86,1101.81,1636.44,1490.67
2.0,2841.57,1206.96,273.68,155.81,204.13,145.78,344.95,261.1,551.98,769.69,1066.63,1140.49
2.0,3058.46,1384.78,319.95,179.85,225.48,151.47,450.5,296.44,533.61,758.27,1177.56,1209.73
2.0,4344.71,1513.55,410.92,212.17,283.56,167.42,414.59,143.66,304.05,516.64,1198.41,1211.32
3.0,2565.53,1083.3,276.82,150.84,158.01,97.94,1144.74,387.65,811.13,1481.39,3060.51,3024.32
3.0,2179.31,911.61,239.96,128.46,134.95,79.72,1282.94,440.1,834.6,1491.05,3221.69,3311.63
3.0,1597.08,637.72,174.87,93.65,102.49,60.36,1923.86,978.26,1480.45,2354.76,3908.12,4082.04
3.0,2120.16,660.2,172.52,92.0,136.66,79.72,1350.4,932.65,1544.73,2658.76,3912.86,3586.21
3.0,2214.11,701.08,186.64,100.28,140.07,86.55,1010.9,515.35,1646.76,2302.04,3679.62,2655.04
3.0,2497.1,797.14,215.65,114.37,155.45,92.25,878.14,670.41,1494.73,2166.73,2836.75,2570.67
3.0,1991.42,777.73,186.64,105.26,141.78,89.97,1134.95,803.81,1151.91,1952.34,2826.32,2786.35
3.0,3159.36,1096.58,287.01,149.18,209.26,136.67,852.03,491.41,1002.95,1597.37,2600.67,2516.55
3.0,4178.85,1358.21,344.26,183.99,274.17,184.5,725.8,542.72,1051.92,1605.28,2314.34,2272.22
3.0,6043.85,1850.81,457.97,246.15,388.62,250.55,563.66,473.17,887.66,1409.34,1700.91,1755.7
4.0,1524.01,773.64,202.32,106.91,105.91,68.33,805.24,369.41,777.46,1165.96,2087.74,2206.96
4.0,1517.05,801.23,190.56,106.91,109.33,74.03,1105.57,603.14,941.73,1409.34,2270.73,2426.62
4.0,1899.79,714.36,179.58,96.97,125.55,78.58,532.11,194.97,428.52,807.47,2079.21,2519.74
4.0,2190.91,777.73,218.79,111.89,135.8,82.0,2219.84,1117.36,2022.22,2720.27,4091.11,3937.19
4.0,1491.54,748.09,188.99,103.6,105.05,69.47,1698.61,1125.34,1415.15,2245.8,3051.97,3396.79
4.0,1684.07,705.17,176.44,100.28,119.57,78.58,1749.75,853.98,1572.27,2075.35,3367.7,2647.08
4.0,2069.13,860.51,214.87,115.2,155.45,100.22,573.46,586.04,1272.31,1604.4,1861.14,1700.78
4.0,2966.83,1102.72,287.01,149.18,202.42,128.69,459.2,571.22,867.25,1201.98,1190.83,1159.59
4.0,4372.54,1471.65,396.8,207.2,278.44,179.94,560.4,282.76,681.56,854.04,1252.46,1087.16
4.0,3958.48,1412.38,359.94,200.57,282.71,178.8,348.21,248.55,477.5,683.58,998.36,1101.49
5.0,1414.99,820.65,171.74,100.28,105.05,76.3,490.76,272.5,777.46,1196.71,1946.47,1610.85
5.0,1577.36,875.84,170.17,105.26,120.43,93.39,605.01,379.67,737.67,1141.35,1728.41,1531.26
5.0,1751.34,753.2,156.05,92.0,124.7,83.14,461.38,230.31,494.84,779.35,1610.84,1471.57
5.0,2098.12,750.13,176.44,98.63,129.82,84.28,551.7,312.4,650.95,933.99,1569.13,1517.73
5.0,2258.18,839.05,203.89,111.89,141.78,93.39,616.98,556.4,633.6,1048.22,1181.35,1493.86
5.0,2292.97,880.95,213.3,116.86,147.76,94.53,478.79,407.04,349.96,750.36,959.49,1357.76
5.0,2754.59,960.66,236.83,130.12,169.97,104.78,418.94,362.57,341.8,703.79,924.41,1263.05
5.0,3073.54,947.38,228.2,125.98,192.17,115.03,403.71,379.67,372.41,736.3,980.35,1277.38
5.0,3608.22,908.54,254.86,130.12,204.98,116.17,459.2,404.76,312.21,670.4,975.61,1388.0
5.0,3507.31,1046.51,289.37,152.5,205.84,112.75,384.12,391.07,269.36,628.23,905.45,1332.29
6.0,2981.91,1111.91,318.38,160.79,185.34,110.47,599.57,518.77,1085.59,1347.83,1699.02,1746.15
6.0,2391.56,912.63,273.68,142.55,141.78,84.28,735.59,687.52,940.71,1275.79,1381.4,1742.96
6.0,2077.25,718.45,220.36,109.4,130.68,78.58,528.84,337.49,475.46,773.2,1295.12,1672.13
6.0,2057.53,891.17,254.86,130.12,130.68,77.44,548.43,441.24,536.68,945.42,1516.03,1904.53
6.0,2012.3,917.74,234.47,125.15,143.49,86.55,697.51,358.01,623.4,953.32,1953.11,1742.17
6.0,2344.01,842.11,212.52,115.2,169.11,104.78,590.87,250.84,828.48,1064.91,2002.41,1781.17
6.0,2965.67,1066.95,283.88,148.35,207.55,137.8,496.2,387.65,857.05,1114.12,1474.31,1445.31
6.0,3942.25,1559.54,389.74,211.34,272.46,182.22,742.12,400.2,906.02,1105.33,1577.66,1440.53
6.0,4616.11,1607.57,432.87,224.6,306.62,197.03,539.73,189.27,527.49,758.27,1490.43,1415.06
6.0,4251.92,2170.68,526.98,285.11,293.81,186.78,525.58,261.1,614.22,847.01,1468.63,1425.41
7.0,2732.55,1113.96,325.44,169.07,179.36,108.19,474.44,208.65,560.14,818.01,1717.98,1580.61
7.0,2828.81,1061.84,294.07,155.81,197.3,120.72,573.46,339.77,744.82,1017.47,1630.75,1567.08
7.0,3762.47,1165.06,326.22,168.25,231.46,144.64,505.99,231.45,566.26,831.19,1584.3,1531.26
7.0,4537.24,1431.79,411.7,213.0,276.73,158.3,661.6,353.45,852.97,1046.46,1620.32,1298.87
7.0,3765.95,1428.73,407.78,206.37,242.57,148.05,573.46,327.23,680.54,902.36,1388.04,1149.24
7.0,3652.29,1353.1,388.96,194.77,216.94,119.58,646.36,232.59,484.64,664.25,1366.23,1230.42
7.0,1971.7,762.4,269.76,126.81,108.47,58.08,439.61,233.73,465.25,690.61,1339.68,1458.84
7.0,2043.61,626.47,211.73,106.09,121.28,69.47,692.07,367.13,577.49,845.25,1510.34,1344.23
7.0,1878.92,698.01,184.29,96.14,127.26,83.14,526.67,264.52,592.79,841.74,1604.21,1472.37
7.0,3201.12,987.23,268.19,138.41,193.88,119.58,645.28,462.9,754.0,1035.92,1420.27,1419.84
8.0,2962.19,1459.39,363.08,196.42,211.82,142.36,544.08,174.44,471.38,704.67,1702.81,1429.39
8.0,2746.47,1346.97,341.12,179.85,192.17,121.86,402.62,119.72,424.44,674.8,1696.17,1481.12
8.0,2291.82,1141.55,292.5,156.64,153.74,99.08,845.5,415.02,828.48,1107.97,1884.85,1863.94
8.0,2175.83,1036.29,247.8,137.58,156.3,102.5,746.47,285.04,664.21,988.47,2034.65,1956.26
8.0,2230.34,937.16,237.61,125.98,145.2,92.25,730.15,486.85,861.13,1239.76,1858.3,1942.73
8.0,2523.78,946.35,259.57,134.27,157.15,95.67,635.48,513.07,812.15,1187.04,1516.03,1602.09
8.0,2558.57,999.5,254.08,136.75,169.11,100.22,714.92,229.17,478.52,766.17,1614.64,1585.38
